Time,Open,High,Low,Close,Volume
"Jan 29, 2021",243.00,252.00,242.00,249.38,4269000
"Feb 1, 2021",252.00,254.99,232.51,237.66,3807500
"Feb 2, 2021",239.00,248.50,237.52,245.24,4639500
"Feb 3, 2021",248.25,249.00,238.02,241.50,3629500
"Feb 4, 2021",245.50,259.61,244.00,257.29,8832000
"Feb 8, 2021",265.00,267.45,248.49,259.37,5717500
"Feb 9, 2021",263.00,267.95,259.00,265.19,5366500
"Feb 10, 2021",263.00,266.50,245.31,246.43,7378000
"Feb 11, 2021",244.02,244.02,227.95,228.14,5575000
"Feb 12, 2021",225.88,245.25,225.02,241.81,8422500
"Feb 15, 2021",247.00,256.40,242.01,248.44,7123000
"Feb 16, 2021",249.00,260.00,247.50,256.86,8153000
"Feb 17, 2021",260.00,268.40,250.01,265.55,7635000
"Feb 18, 2021",269.20,274.84,262.01,271.13,9393500
"Feb 19, 2021",273.90,291.46,268.00,290.58,7208500
"Feb 22, 2021",292.50,302.00,291.80,299.68,7717000
"Feb 23, 2021",298.50,304.75,284.12,297.95,6051000
"Feb 24, 2021",300.55,301.00,275.61,276.10,6777500
"Feb 25, 2021",277.00,285.70,266.10,283.45,14321500
"Feb 26, 2021",283.50,285.49,269.70,280.68,9067000
"Mar 1, 2021",279.00,289.15,261.10,285.04,7775500
"Mar 2, 2021",288.49,299.80,281.81,294.77,8112000
"Mar 3, 2021",296.00,302.38,291.51,300.06,7577000
"Mar 4, 2021",286.00,297.50,281.00,284.76,4240500
"Mar 5, 2021",284.76,290.89,280.00,285.84,3405500
"Mar 8, 2021",292.00,294.44,285.22,287.15,5598000
"Mar 9, 2021",287.10,287.40,265.62,280.09,4656500
"Mar 10, 2021",280.50,283.00,259.09,264.03,6044000
"Mar 11, 2021",257.00,263.50,244.23,244.23,3174000
"Mar 12, 2021",237.00,250.00,225.92,240.00,6845000
"Mar 15, 2021",250.00,258.00,240.00,258.00,5269500
"Mar 16, 2021",260.55,271.95,257.07,268.95,7252000
"Mar 17, 2021",277.00,281.00,272.00,273.88,8356000
"Mar 18, 2021",271.49,271.50,253.34,253.92,7533000
"Mar 19, 2021",246.01,261.49,234.88,239.28,9072000
"Mar 22, 2021",232.00,241.88,227.03,239.25,5408500
"Mar 24, 2021",241.00,253.00,238.50,251.20,8259000
"Mar 25, 2021",254.00,257.55,233.00,239.13,10598500
"Mar 26, 2021",236.93,246.80,228.00,232.82,8377000
